episode_id,cell_line_id,selected_gene,selected_index,selected_dependency,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,hit_at_k,dependency_regret
207,ACH-000323,ACTB,1,-1.3532125488246594,0.27999999999999997,14,1.0732125488246593,0,0,14,0,1.0,0.8390125413554268
208,ACH-000172,XPO1,12,-2.535784627114957,0.18,9,2.3557846271149567,0,0,9,0,1.0,0.0
209,ACH-000637,PCBP1,11,-1.7660333922038238,0.16,8,1.606033392203824,0,0,8,0,1.0,0.0
210,ACH-002400,BRD4,13,-0.9067531429153438,0.3,15,0.6067531429153439,0,0,15,0,1.0,0.0
211,ACH-000009,SF3B1,6,-1.055715261881868,0.16,8,0.8957152618818679,0,0,8,0,1.0,0.0
212,ACH-002693,BRCA1,10,-0.5292292464401429,0.32,16,0.2092292464401429,0,0,16,0,1.0,0.33649754044427516
213,ACH-000011,XPO1,14,-2.157182691812297,0.25999999999999995,13,1.897182691812297,0,0,13,0,1.0,0.0
214,ACH-000552,KIF18A,11,-3.3760423938541426,0.16,8,3.2160423938541425,0,0,8,0,1.0,0.0
215,ACH-001054,MED12,1,-0.990729592193316,0.32,16,0.6707295921933161,0,0,16,0,1.0,0.0
216,ACH-000541,XPO1,3,-2.401581211040266,0.19999999999999998,10,2.2015812110402657,0,0,10,0,1.0,0.0
217,ACH-002019,MYC,5,-1.6112932046635795,0.16,8,1.4512932046635796,0,0,8,0,1.0,0.0
218,ACH-000959,CNOT3,4,-1.4457334899455514,0.16,8,1.2857334899455515,0,0,8,0,1.0,0.0
219,ACH-001211,SMC4,9,-1.880001039496648,0.34,17,1.540001039496648,0,1,16,0,1.0,0.0
220,ACH-001791,NCAPD2,6,-1.2249079791554405,0.16,8,1.0649079791554406,0,0,8,0,1.0,0.5310291572638339
221,ACH-001307,CHD4,6,-1.8947691351161864,0.16,8,1.7347691351161865,0,0,8,0,1.0,0.0
222,ACH-000011,ERCC3,0,-1.1944846934684392,0.32,16,0.8744846934684392,0,0,16,0,1.0,0.0
223,ACH-000469,MYC,9,-1.704167309567036,0.32,16,1.384167309567036,0,0,16,0,1.0,0.0
224,ACH-001038,CTCF,7,-2.001602431485085,0.16,8,1.8416024314850852,0,0,8,0,1.0,0.0
225,ACH-000845,ZNF407,10,-0.6422668435597952,0.32,16,0.32226684355979524,0,0,16,0,1.0,0.25592660332277617
226,ACH-001205,MYH9,6,-0.1129081994379621,0.5800000000000002,29,-0.4670918005620381,0,13,16,0,1.0,0.9455854312840322
227,ACH-000302,CHD4,10,-0.8996935073210894,0.16,8,0.7396935073210894,0,0,8,0,1.0,0.00905521455498215
